"id","title","component","owner","priority","status","reason","lab","org_unit","program","customer_contact","updated_by","submitted_date","closed_date","acknowledged_date","eta","eta_request","category","cell_id"
"=HYPERLINK(""https://hsdes.intel.com/resource/16015008717"",""16015008717"")","[WW43.3][REMOTE SUPPORT][GLK][APPV0001C] Need OPS support to collect and place the units from MIR # 1394608 in APPV0001C/PG12/MPE","lab.PPV.Remote Support","mbin289x","2-high","complete","released","PG12 MPE Lab","MPE Labs","GLK","rgirijax","binm186x","=TEXT(""2021-10-20 19:10:02.860"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-03 00:07:35.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 19:25:43.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-03 19:10:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV","1"
"=HYPERLINK(""https://hsdes.intel.com/resource/15010122056"",""15010122056"")","[WW43.3][REMOTE SUPPORT][APPV06] Help to Verify Cell ,APPV06/PG12 MPE Lab/1","lab.PPV.Remote Support","nuriliyx","3-medium","complete",,"PG12 MPE Lab","MPE.NCSG","DNV",,"mmatdahx","=TEXT(""2021-10-20 16:35:26.510"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-21 16:35:19.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 17:25:39.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-03 00:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/15010122010"",""15010122010"")","[WW43.3][System Debug][APPV06] Help to Verify Cell,APPV06/PG12 MPE Lab/6","lab.PPV.System Debug","nkasimx","3-medium","rejected","cannot_reproduce","PG12 MPE Lab","MPE.NCSG","DNV","tengkaie","sbin129x","=TEXT(""2021-10-20 16:31:08.753"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 17:13:36.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 17:13:29.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-25 16:31:09.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/16015006384"",""16015006384"")","[WW43.3][REMOTE SUPPORT][GLK][APPV0001C] Need OPS support to collect and place the units from MIR # 1394403 in APPV0001C/PG12/MPE","lab.PPV.Remote Support","mbinm71x","2-high","complete",,"PG12 MPE Lab","MPE Labs","GLK","rgirijax","nbinkh1x","=TEXT(""2021-10-20 15:54:58.120"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-03 15:34:42.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 15:59:10.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-02 00:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV","1"
"=HYPERLINK(""https://hsdes.intel.com/resource/16015006320"",""16015006320"")","[WW43.3][REMOTE SUPPORT][GLK][APPV0001C] Need OPS support to collect and place the units from MIR # 1394404 in APPV0001C/PG12/MPE","lab.PPV.Remote Support","nuriliyx","2-high","complete",,"PG12 MPE Lab","MPE Labs","GLK","rgirijax","nbinkh1x","=TEXT(""2021-10-20 15:51:49.390"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-03 15:35:25.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 17:20:29.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-03 00:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV","1"
"=HYPERLINK(""https://hsdes.intel.com/resource/16015006276"",""16015006276"")","[WW43.3][REMOTE SUPPORT][GLK][APPV0001C] Need OPS support to collect and place the units from MIR # 1394367 in APPV0001C/PG12/MPE","lab.PPV.Remote Support","mbinm71x","2-high","complete",,"PG12 MPE Lab","MPE Labs","GLK","rgirijax","nbinkh1x","=TEXT(""2021-10-20 15:49:48.920"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-03 15:33:56.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 15:53:18.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-02 00:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV","1"
"=HYPERLINK(""https://hsdes.intel.com/resource/16015006248"",""16015006248"")","[WW43.3][REMOTE SUPPORT][GLK][APPV0001C] Need OPS support to collect and place the units from MIR # 1394380 in APPV0001C/PG12/MPE","lab.PPV.Remote Support","mbinm71x","2-high","complete",,"PG12 MPE Lab","MPE Labs","GLK","rgirijax","nbinkh1x","=TEXT(""2021-10-20 15:48:41.753"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-03 15:31:16.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 15:59:18.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-02 00:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV","1"
"=HYPERLINK(""https://hsdes.intel.com/resource/16015003749"",""16015003749"")","[WW43.3][REMOTE SUPPORT][GLK][APPV0001C] Need OPS support to collect and place the units from  MIR # 1394149 in APPV0001C","lab.PPV.Remote Support","mbinm71x","2-high","complete",,"PG12 MPE Lab","MPE Labs","GLK","rgirijax","bint180x","=TEXT(""2021-10-20 13:56:39.407"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-04 09:12:03.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 14:23:51.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-02 00:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV","1"
"=HYPERLINK(""https://hsdes.intel.com/resource/16015003734"",""16015003734"")","[WW42.3][REMOTE SUPPORT][GLK][APPV0001C] Need OPS support to collect and place the units from MIR # 1394144 in APPV0001C/PG12","lab.PPV.Remote Support",,"2-high","rejected","filed_by_mistake","PG12 MPE Lab","MPE Labs","GLK","rgirijax","sbin129x","=TEXT(""2021-10-20 13:55:06.280"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 14:13:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"=TEXT(""2021-10-25 13:55:06.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV","1"
"=HYPERLINK(""https://hsdes.intel.com/resource/16015003666"",""16015003666"")","[WW43.3][REMOTE SUPPORT][GLK][APPV0001C] Need OPS support to collect and place the units from MIR # 1394144 in APPV0001C/PG12","lab.PPV.Remote Support","mbinm71x","2-high","complete","released","PG12 MPE Lab","MPE Labs","GLK","rgirijax","binm186x","=TEXT(""2021-10-20 13:47:16.607"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-03 02:18:04.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 14:24:00.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-02 00:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV","1"
"=HYPERLINK(""https://hsdes.intel.com/resource/16015001507"",""16015001507"")","[REMOTE SUPPORT][WW43.3][ADL][APPV#03B]  -> Need support to collect and place units in APPV03 and 03B from MIR # 1393826 /PG12 MPE Lab/1,2","lab.PPV.Remote Support","nuriliyx","2-high","complete",,"PG12 MPE Lab","MPE Labs","ADL S601","anishnax","anishnax","=TEXT(""2021-10-20 10:25:16.877"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-25 15:37:39.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 10:34:17.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-03 00:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV","1"
"=HYPERLINK(""https://hsdes.intel.com/resource/15010118352"",""15010118352"")","[WW43.3D][SYSTEM DEBUG][APPV02] DG2 128 CELL 5 down 79040006,PYTHON_TIMEOUT_EMULATEIFWI_DG2,,APPV02/PG12 MPE Lab/5","lab.PPV.System Debug","bint180x","2-high","complete","released","PG12 MPE Lab","MPE Labs","DG2 128","bint180x","nkasimx","=TEXT(""2021-10-20 09:17:11.250"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 14:52:47.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 09:17:30.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-22 00:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/15010118298"",""15010118298"")","[WW43.3] [REMOTE SUPPORT] [APPV09] Help to Run Looping,APPV09/PG12 MPE Lab/1,2,3","lab.PPV.Remote Support","bint180x","2-high","complete",,"PG12 MPE Lab","MPE Labs","SNR",,"awatifbx","=TEXT(""2021-10-20 09:09:45.250"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-22 06:25:39.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 09:12:23.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-03 00:00:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV",
"=HYPERLINK(""https://hsdes.intel.com/resource/16014995975"",""16014995975"")","[REMOTE SUPPORT][WW43.2][ADL][APPV#03B]  -> DVM Check fail in cell3 @ APPV03/PG12 MPE Lab/1,2","lab.PPV.Remote Support","mbin289x","2-high","complete",,"PG12 MPE Lab","MPE Labs","ADL S601","anishnax","anishnax","=TEXT(""2021-10-19 23:22:24.397"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-25 15:39:26.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-10-20 00:21:16.000"", ""yyyy-mm-dd h:mm:ss"")","=TEXT(""2021-11-03 11:22:00.000"", ""yyyy-mm-dd h:mm:ss"")",,"PPV","1"
